code,start_time,end_time,annualized_rate_of_return,n_of_transacqtions_of_rule_1,trading_interval_1,odds_1,n_of_transactions_of_rule_2,trading_interval_2,odds_2,volatility,sharpe_ratio,holding_period
AUDUSD,15-Apr-2002,31-Jan-2020,3.68203093252883,126,36.8650793650794,38.0952380952381,68,68.3088235294118,32.3529411764706,0.00819194964383625,0.344003553268984,15.3858621952438
EURUSD,15-Apr-2002,31-Jan-2020,3.79806502738294,127,36.5748031496063,35.4330708661417,66,70.3787878787879,34.8484848484849,0.0082532170412202,0.350976770146605,14.9390403702228
GBPUSD,15-Apr-2002,31-Jan-2020,-1.42976863817443,146,31.8150684931507,28.0821917808219,76,61.1184210526316,27.6315789473684,0.00886912952167552,-0.0322515442489351,13.1831023044309
NZDUSD,15-Apr-2002,31-Jan-2020,3.01313710975673,124,37.4596774193548,37.0967741935484,65,71.4615384615385,36.9230769230769,0.00801225771481997,0.297768992858065,15.9488203567339
USDCAD,15-Apr-2002,31-Jan-2020,0.707054912623017,128,36.2890625,31.25,67,69.3283582089552,34.3283582089552,0.00794298731695248,0.118892764066332,14.731892692883
USDCHF,15-Apr-2002,31-Jan-2020,-2.92653224625998,133,34.9248120300752,33.8345864661654,70,66.3571428571429,32.8571428571429,0.0105087833279838,-0.0782595713048888,13.7965341205811
USDJPY,15-Apr-2002,31-Jan-2020,2.03934270149939,137,33.9051094890511,32.8467153284672,65,71.4615384615385,33.8461538461538,0.00896044699494656,0.213245873617012,13.4302763537925
USDNOK,15-Apr-2002,31-Jan-2020,4.25234618498949,122,38.0737704918033,37.7049180327869,69,67.3188405797101,34.7826086956522,0.00875535065738471,0.370061988345954,15.6140520490441
USDSEK,15-Apr-2002,31-Jan-2020,2.03997534304492,133,34.9248120300752,34.5864661654135,67,69.3283582089552,35.8208955223881,0.00799742615981068,0.222931619276416,14.6727898516167
USDBRL,12-Apr-2002,31-Jan-2020,7.73064837132105,124,37.4596774193548,34.6774193548387,65,71.4615384615385,33.8461538461538,0.0123124002900678,0.479931451901454,15.6854522135446
USDCLP,12-Apr-2002,31-Jan-2020,8.19416042646215,133,34.9248120300752,37.593984962406,61,76.1475409836066,42.6229508196721,0.00985718065139161,0.583424518517212,15.2183588901733
USDCOP,11-Apr-2002,31-Jan-2020,10.6902635858349,110,42.2272727272727,48.1818181818182,65,71.4615384615385,41.5384615384615,0.00954693293172493,0.748403600836399,17.4310291571114
USDCZK,12-Apr-2002,31-Jan-2020,2.94021460910923,120,38.7083333333333,40,69,67.3188405797101,39.1304347826087,0.00778083331548482,0.297048425348173,16.2211060135964
USDHUF,12-Apr-2002,31-Jan-2020,0.0116320512453916,131,35.4580152671756,31.2977099236641,61,76.1475409836066,39.344262295082,0.00781075721484965,0.062589312170436,14.4693252417721
USDILS,11-Apr-2002,31-Jan-2020,4.71742843109142,119,39.0336134453782,43.6974789915966,58,80.0862068965517,46.551724137931,0.00743140791020162,0.451110152153433,17.3612041126907
USDINR,15-Apr-2002,31-Jan-2020,10.5430966993615,104,44.6634615384615,40.3846153846154,53,87.6415094339623,49.0566037735849,0.00930692683592096,0.754571329176588,19.745748116254
USDKRW,11-Apr-2002,31-Jan-2020,4.48128870243405,124,37.4596774193548,33.8709677419355,68,68.3088235294118,27.9411764705882,0.0116415421539916,0.330247089289526,14.9994226700511
USDMXN,12-Apr-2002,31-Jan-2020,1.58694156613277,129,36.0077519379845,34.8837209302326,59,78.728813559322,35.5932203389831,0.00968851984361497,0.179084322797911,15.0158401844297
USDMYR,15-Apr-2002,31-Jan-2020,11.258752273004,101,45.990099009901,38.6138613861386,54,86.0185185185185,44.4444444444444,0.0104717471942283,0.731107021050385,17.3831421059133
USDPHP,12-Apr-2002,31-Jan-2020,0.681605310525946,103,45.0970873786408,35.9223300970874,55,84.4545454545455,41.8181818181818,0.00648602445312029,0.117618349671375,18.9990936079477
USDPLN,15-Apr-2002,31-Jan-2020,1.14816764396075,125,37.16,35.2,67,69.3283582089552,31.3432835820896,0.00822067277499807,0.152754310162398,15.5140856004179
USDRON,12-Apr-2002,31-Jan-2020,2.10323364622718,110,42.2272727272727,33.6363636363636,63,73.7301587301587,36.5079365079365,0.00807676542247358,0.226920273099894,16.8132400430571
USDSGD,15-Apr-2002,31-Jan-2020,4.41323299375862,121,38.3884297520661,41.3223140495868,58,80.0862068965517,36.2068965517241,0.00801220872782664,0.404419226744808,17.8757026168918
USDTHB,12-Apr-2002,31-Jan-2020,14.3100604910152,83,55.9638554216867,53.0120481927711,52,89.3269230769231,53.8461538461538,0.00918627074161864,0.993795283589498,24.5939407883384
USDTRY,12-Apr-2002,31-Jan-2020,4.4741825474087,119,39.0336134453782,38.655462184874,67,69.3283582089552,34.3283582089552,0.0102860663099656,0.349604429664954,15.8339888156686
USDTWD,19-Apr-2002,31-Jan-2020,13.0494803298371,86,54.0116279069767,46.5116279069767,48,96.7708333333333,60.4166666666667,0.00834565932899358,0.995535744705861,23.5275008351583
USDZAR,12-Apr-2002,31-Jan-2020,-2.46397149721369,128,36.2890625,31.25,70,66.3571428571429,24.2857142857143,0.00842228778819155,-0.121503127664176,14.0687654218763
